"CODE,C,6","VALIDCODE,L","DESC,C,38"
0102,จริง,Ventriculopunct thru cath
0109,จริง,Other cranial puncture
011,เท็จ,SKULL/BRAIN DX PROCEDURE
0110,จริง,Intracran pressure montr
0111,จริง,Clos cereb meninges bx
0112,จริง,Open cereb meninges bx
0113,จริง,Closed brain biopsy
0114,จริง,Open brain biopsy
0115,จริง,Skull biopsy
0116,จริง,Intracranial 02 monitor
0117,จริง,Brain temp monitoring
0118,จริง,Other brain dx procedure
0119,จริง,Other skull dx procedure
012,เท็จ,CRANIOTOMY & CRANIECTOMY
0120,จริง,Cran imp/rep n'sti puls gn
0121,จริง,Cranial sinus I&D
0122,จริง,Removal brain stim lead
0123,จริง,Reopen craniotomy site
0124,จริง,Other craniotomy
0125,จริง,Other craniectomy
0126,จริง,Ins cath cranial cav/tis
0127,จริง,Rem cath cranial cav/tis
0128,จริง,Intracereb cth-burr hole
0129,จริง,Rem cran n'sti pulse gen
013,เท็จ,INCISE BRAIN & MENINGES
0131,จริง,Incise cerebral meninges
0132,จริง,Lobotomy & tractotomy
0139,จริง,Other brain incision
014,เท็จ,THALAMUS/GLOBUS PALL OP
0141,จริง,Thalamus operations
0142,จริง,Globus pallidus ops
015,เท็จ,EXCISE BRAIN & MENINGES
0151,จริง,Ex cereb meningeal les
0152,จริง,Hemispherectomy
0153,จริง,Brain lobectomy
0159,จริง,Other brain excision
016,จริง,Excise skull lesion
020,เท็จ,CRANIOPLASTY
0201,จริง,Linear craniectomy
0202,จริง,Elevate skull fx fragmnt
0203,จริง,Skull flap formation
0204,จริง,Bone graft to skull
0205,จริง,Skull plate insertion
0206,จริง,Cranial osteoplasty NEC
0207,จริง,Skull plate removal
021,เท็จ,CEREBRAL MENINGES REPAIR
0211,จริง,Simple suture of dura
0212,จริง,Brain meninge repair NEC
0213,จริง,Meninge vessel ligation
0214,จริง,Choroid plexectomy
022,จริง,Ventriculostomy
0221,จริง,Ins/repl EVD
0222,จริง,Intracran vent shunt/anas
023,เท็จ,EXTRACRAN VENTRICL SHUNT
0231,จริง,Ventricl shunt-head/neck
0232,จริง,Ventri shunt-circula sys
0233,จริง,Ventricl shunt-thorax
0234,จริง,Ventricl shunt-abdomen
0235,จริง,Ventri shunt-uninary sys
0239,จริง,Ventric shunt to extracranial site NEC
024,เท็จ,VENTRICLE SHUNT REVISION
0241,จริง,Irrigate/expl vent shunt
0242,จริง,Replace ventricle shunt
0243,จริง,Remove ventricle shunt
029,เท็จ,SKULL & BRAIN OP NEC
0291,จริง,Lysis cortical adhesion
0292,จริง,Brain repair
0293,จริง,Imp/repl brain stim lead
0294,จริง,Insert/replac skull tong
0295,จริง,Remove skull tongs
0296,จริง,Insert sphenoid electrod
0299,จริง,Skull & brain op NEC
030,เท็จ,SPINAL CANAL EXPLORATION
0301,จริง,Removal FB spinal canal
0302,จริง,Reopen laminectomy site
0309,จริง,Spinal canal explor NEC
031,จริง,Intraspin nerve root div
032,เท็จ,CHORDOTOMY
0321,จริง,Percutaneous chordotomy
0329,จริง,Other chordotomy
033,เท็จ,SPINAL CANAL DX PROC
0331,จริง,Spinal tap
0332,จริง,Spinal cord/meninges bx
0339,จริง,Other spinal dx proc
034,จริง,Excis spinal cord lesion
035,เท็จ,SPINAL CORD PLASTIC OP
0351,จริง,Spine meningocele repair
0352,จริง,Myelomeningocel repair
0353,จริง,Vertebral fx repair
0359,จริง,Spinal struct repair NEC
036,จริง,Spinal cord adhesiolysis
037,เท็จ,SPINAL THECAL SHUNT
0371,จริง,Subarach-periton shunt
0372,จริง,Subarach-ureteral shunt
0379,จริง,Oth spinal thecal shunt
038,จริง,Destr inject-spine canal
039,เท็จ,SPIN CANAL STRUCT OP NEC
0390,จริง,Insert spinal canal cath
0391,จริง,Anesth inject-spin canal
0392,จริง,Spinal canal inject NEC
0393,จริง,Imp/repl spine stim lead
0394,จริง,Removal spine stim lead
0395,จริง,Spinal blood patch
0396,จริง,Percutan facet denervat
0397,จริง,Revise spine theca shunt
0398,จริง,Remove spine theca shunt
0399,จริง,Spine canal struc op NEC
040,เท็จ,PER NERV INCIS/DIV/EXCIS
0401,จริง,Excision acoustc neuroma
0402,จริง,Trigeminal nerv division
0403,จริง,Periph nerve div NEC
0404,จริง,Periph nerve incis NEC
0405,จริง,Gasserian ganglionectomy
0406,จริง,Periph ganglionect NEC
0407,จริง,Periph nerv excision NEC
041,เท็จ,PERIPH NERVE DX PROC
0411,จริง,Clos periph nerve biopsy
0412,จริง,Open periph nerve biopsy
0419,จริง,Periph nerve dx proc NEC
042,จริง,Periph nerve destruction
043,จริง,Peripheral nerve suture
044,เท็จ,PERIPH NERV ADHESIOLYSIS
0441,จริง,Decompress trigem root
0442,จริง,Cranial nerv decom NEC
0443,จริง,Carpal tunnel release
0444,จริง,Tarsal tunnel release
0449,จริง,Per nerve adhesiolys NEC
045,จริง,Peripheral nerve graft
046,จริง,Periph nerve transposit
047,เท็จ,OTHER PERIPH NEUROPLASTY
0471,จริง,Hypogloss-facial anastom
0472,จริง,Accessory-facial anastom
0473,จริง,Access-hypogloss anastom
0474,จริง,Periph nerv anastom NEC
0475,จริง,Postop revis per nerv op
0476,จริง,Late repair per nerv inj
0479,จริง,Other neuroplasty
048,เท็จ,PERIPHERAL NERVE INJECT
0480,จริง,Periph nerve inject NOS
0481,จริง,Anesth injec periph nerv
0489,จริง,Periph nerve inject NEC
049,เท็จ,OTH PERIPHERAL NERVE OP
0491,จริง,Neurectasis
0492,จริง,Imp/repl peri stim lead
0493,จริง,Removal peri stim lead
0499,จริง,Peripheral nerve ops NEC
050,จริง,Sympath nerve division
051,เท็จ,SYMPATH NERVE DX PROC
0511,จริง,Sympathetic nerve biopsy
0519,จริง,Sympath nrv dx proc NEC
052,เท็จ,SYMPATHECTOMY
0521,จริง,Sphenopalatin ganglionec
0522,จริง,Cervical sympathectomy
0523,จริง,Lumbar sympathectomy
0524,จริง,Presacral sympathectomy
0525,จริง,Periart sympathectomy
0529,จริง,Other sympathectomy
053,เท็จ,SYMPATH NERVE INJECTION
0531,จริง,Anesth inject symp nerve
0532,จริง,Neurolyt injec-symp nrv
0539,จริง,Sympath nerve inject NEC
058,เท็จ,OTH SYMPATHETIC NERVE OP
0581,จริง,Sympathetic nerve repair
0589,จริง,Sympathetic nerve op NEC
059,จริง,Other nervous system ops
060,เท็จ,THYROID FIELD INCISION
0601,จริง,Thyroid field aspiration
0602,จริง,Reopen thyroid field wnd
0609,จริง,Incis thyroid field NEC
061,เท็จ,THYROID/PARATHY DX PROC
0611,จริง,Closed thyroid gland bx
0612,จริง,Open thyroid gland bx
0613,จริง,Parathyroid biopsy
0619,จริง,Thyr/parathy dx proc NEC
062,จริง,Unilat thyroid lobectomy
063,เท็จ,OTHER PART THYROIDECTOMY
0631,จริง,Excision thyroid lesion
0639,จริง,Part thyroidectomy NEC
064,จริง,Complete thyroidectomy
065,เท็จ,SUBSTERNAL THYROIDECTOMY
0650,จริง,Substern thyroidect NOS
0651,จริง,Part substern thyroidect
0652,จริง,Tot substern thyroidect
066,จริง,Lingual thyroid excision
067,จริง,Thyrogloss duct excision
068,เท็จ,PARATHYROIDECTOMY
0681,จริง,Total parathyroidectomy
0689,จริง,Other parathyroidectomy
069,เท็จ,THYROID/PARATHY OP NEC
0691,จริง,Thyroid isthmus division
0692,จริง,Thyroid vessel ligation
0693,จริง,Thyroid suture
0694,จริง,Thyroid reimplantation
0695,จริง,Parathyroid reimplant
0698,จริง,Other thyroid operations
0699,จริง,Other parathyroid ops
070,เท็จ,ADRENAL FIELD EXPLOR
0700,จริง,Adrenal exploration NOS
0701,จริง,Unilat adrenal explorat
0702,จริง,Bilat adrenal explorat
071,เท็จ,OTHER ENDOCRINE DX PROCS
0711,จริง,Closed adrenal gland bx
0712,จริง,Open adrenal gland bx
0713,จริง,Transfront pituitary bx
0714,จริง,Transphen pituitary bx
0715,จริง,Pituitary biopsy NOS
0716,จริง,Thymus biopsy
0717,จริง,Pineal biopsy
0719,จริง,Endocrine dx proc NEC
072,เท็จ,PARTIAL ADRENALECTOMY
0721,จริง,Adrenal lesion excision
0722,จริง,Unilateral adrenalectomy
0729,จริง,Part adrenalectomy NEC
073,จริง,Bilateral adrenalectomy
074,เท็จ,OTHER ADRENAL OPERATIONS
0741,จริง,Adrenal incision
0742,จริง,Adrenal nerve division
0743,จริง,Adrenal vessel ligation
0744,จริง,Adrenal repair
0745,จริง,Adrenal reimplantation
0749,จริง,Adrenal operation NEC
075,เท็จ,PINEAL GLAND OPERATIONS
0751,จริง,Pineal field exploration
0752,จริง,Pineal gland incision
0753,จริง,Partial pinealectomy
0754,จริง,Total pinealectomy
0759,จริง,Pineal operation NEC
076,เท็จ,HYPOPHYSECTOMY
0761,จริง,Exc pituit les-transfron
0762,จริง,Exc pituit les-transphen
0763,จริง,Part excis pituitary NOS
0764,จริง,Tot exc pituit-transfron
0765,จริง,Tot exc pituit-transphen
0768,จริง,Total exc pituitary NEC
0769,จริง,Total exc pituitary NOS
077,เท็จ,OTHER HYPOPHYSIS OPS
0771,จริง,Pituitary fossa explorat
0772,จริง,Pituitary gland incision
0779,จริง,Pituitary operation NEC
078,เท็จ,THYMECTOMY
0780,จริง,Thymectomy NOS
0781,จริง,Oth part excision thymus
0782,จริง,Oth totl excision thymus
0783,จริง,Thorac part excisn thymus
0784,จริง,Thorac total exc thymus
079,เท็จ,OTHER THYMUS OPERATIONS
0791,จริง,Thymus field exploration
0792,จริง,Other incision of thymus
0793,จริง,Repair of thymus
0794,จริง,Thymus transplantation
0795,จริง,Thorac incision thymus
0798,จริง,Oth thorac op thymus NOS
0799,จริง,Other thymus ops NOS
080,เท็จ,EYELID INCISION
0801,จริง,Incision of lid margin
0802,จริง,Blepharorrhaphy severing
0809,จริง,Other eyelid incision
081,เท็จ,DIAGNOSTIC PROC-EYELID
0811,จริง,Eyelid biopsy
0819,จริง,Eyelid dx procedure NEC
082,เท็จ,EXCIS/DESTRUC LID LESION
0820,จริง,Remove eyelid lesion NOS
0821,จริง,Chalazion excision
0822,จริง,Excise minor les lid NEC
0823,จริง,Exc maj les lid prt-thic
0824,จริง,Exc maj les lid ful-thic
0825,จริง,Destruction lid lesion
083,เท็จ,PTOSIS/LID RETRACT REP
0831,จริง,Ptosis rep-front mus sut
0832,จริง,Ptosis rep-fron mus slng
0833,จริง,Ptosis rep-levat mus adv
0834,จริง,Ptosis rep-levat mus NEC
0835,จริง,Ptos rep-tarsal techniq
0836,จริง,Blepharoptos repair NEC
0837,จริง,Reduc overcorrect ptosis
0838,จริง,Correct lid retraction
084,เท็จ,ENTROPION/ECTROPION REP
0841,จริง,Thermocaut/entropion rep
0842,จริง,Suture entropion repair
0843,จริง,Wedg resec entropion rep
0844,จริง,Lid recons entropion rep
0849,จริง,Entropion/ectrop rep NEC
085,เท็จ,OTH ADJUST LID POSITION
0851,จริง,Canthotomy
0852,จริง,Blepharorrhaphy
0859,จริง,Adjust lid position NEC
086,เท็จ,LID RECONSTRUCT W GRAFT
0861,จริง,Lid reconst w skin graft
0862,จริง,Lid reconst w muc graft
0863,จริง,Lid reconst w hair graft
0864,จริง,Lid recon-tarsoconj flap
0869,จริง,Lid reconstr w graft NEC
087,เท็จ,OTHER EYELID RECONSTRUCT
0870,จริง,Lid reconstruction NOS
0871,จริง,Lid marg recon-part thic
0872,จริง,Lid recons-part thic NEC
0873,จริง,Lid marg recons ful thic
0874,จริง,Lid reconst-ful thic NEC
088,เท็จ,OTHER REPAIR OF EYELID
0881,จริง,Lin rep lacer eyelid/brow
0882,จริง,Rep lac inv lid mar par-th
0883,จริง,"Oth rep lid lacer, par-th"
0884,จริง,Rep lac inv lid mar ful-th
0885,จริง,"Oth rep lid lacer, ful-th"
0886,จริง,Lower eyelid rhytidectomy
0887,จริง,Upper eyelid rhytidectomy
0889,จริง,Other eyelid repair
089,เท็จ,OTHER EYELID OPERATIONS
0891,จริง,Electrosurg lid epilat
0892,จริง,Cryosurg lid epilation
0893,จริง,Eyelid epilation NEC
0899,จริง,Eyelid operation NEC
090,จริง,Lacrimal gland incision
091,เท็จ,LACRIMAL SYS DX PROC
0911,จริง,Lacrimal gland biopsy
0912,จริง,Lacrimal sac biopsy
0919,จริง,Lacrimal sys dx proc NEC
092,เท็จ,LACRIMAL GLAND EXCISION
0920,จริง,Exc lacrimal gland NOS
0921,จริง,Excis les lacrimal gland
0922,จริง,Part dacryoadenect NEC
0923,จริง,Total dacryoadenectomy
093,จริง,Other lacrimal gland ops
094,เท็จ,LAC PASSAGE MANIPULATION
0941,จริง,Lacrimal punctum probe
0942,จริง,Lac canaliculi probe
0943,จริง,Nasolacrimal duct probe
0944,จริง,Nasolac duct intubat
0949,จริง,Lac passage manip NEC
095,เท็จ,INCISE LAC SAC/PASSAGES
0951,จริง,Lac punctum incision
0952,จริง,Lac canaliculi incision
0953,จริง,Lacrimal sac incision
0959,จริง,Lacrim passage incis NEC
096,จริง,Lacrim sac/passage excis
097,เท็จ,CANALICULUS/PUNCTUM REP
0971,จริง,Correct everted punctum
0972,จริง,Punctum repair NEC
0973,จริง,Canaliculus repair
098,เท็จ,NASO-LACRIMAL FISTULIZAT
0981,จริง,Dacryocystorhinostomy
0982,จริง,Conjunctivocystorhinost
0983,จริง,Conjunctivorhinos w tube
099,เท็จ,OTH LACRIMAL SYST OPS
0991,จริง,Lac punctum obliteration
0999,จริง,Lacrimal system op NEC
100,จริง,Incise/remov conjunct FB
101,จริง,Conjunctiva incision NEC
102,เท็จ,CONJUNCTIVA DX PROC
1021,จริง,Conjunctival biopsy
1029,จริง,Conjunctiva dx proc NEC
103,เท็จ,DESTRUCT CONJUNCT LESION
1031,จริง,Excise conjunctiv lesion
1032,จริง,Destruct conjunc les NEC
1033,จริง,Oth conjunc destruc proc
104,เท็จ,CONJUNCTIVOPLASTY
1041,จริง,Symbleph rep w free grft
1042,จริง,Graft conjunc cul-de-sac
1043,จริง,Conjun cul-de-sac rx NEC
1044,จริง,Conjunc free graft NEC
1049,จริง,Conjunctivoplasty NEC
105,จริง,Conjunc/lid adhesiolysis
106,จริง,Repair conjunct lacerat
109,เท็จ,OTHER CONJUNCTIVAL OPS
1091,จริง,Subconjunctival inject
1099,จริง,Conjunctival op NEC
110,จริง,Magnet removal cornea FB
111,จริง,Corneal incision
112,เท็จ,DX PROCEDURE ON CORNEA
1121,จริง,Corneal scrape for smear
1122,จริง,Corneal biopsy
1129,จริง,Corneal dx proc NEC
113,เท็จ,EXCISION OF PTERYGIUM
1131,จริง,Pterygium transposition
1132,จริง,Pteryg exc w cornea grft
1139,จริง,Pterygium excision NEC
114,เท็จ,DESTRUCT CORNEAL LESION
1141,จริง,Mech remov cornea epith
1142,จริง,Thermocaut cornea lesion
1143,จริง,Cryotherap cornea lesion
1149,จริง,Destruct cornea les NEC
115,เท็จ,CORNEAL REPAIR
1151,จริง,Suture cornea laceration
1152,จริง,Rep cornea postop dehisc
1153,จริง,Rx cornea lac w conj flp
1159,จริง,Corneal repair NEC
116,เท็จ,CORNEAL TRANSPLANT
1160,จริง,Corneal transplant NOS
1161,จริง,Lam keratplast w autgrft
1162,จริง,Lamellar keratoplast NEC
1163,จริง,Perf keratopl w autogrft
1164,จริง,Perforat keratoplast NEC
1169,จริง,Corneal transplant NEC
117,เท็จ,OTH RECONST REFRAC SURG
1171,จริง,Keratomileusis
1172,จริง,Keratophakia
1173,จริง,Keratoprosthesis
1174,จริง,Thermokeratoplasty
1175,จริง,Radial keratotomy
1176,จริง,Epikeratophakia
1179,จริง,Cornea reconstruct NEC
119,เท็จ,OTHER CORNEAL OPERATIONS
1191,จริง,Corneal tattooing
1192,จริง,Remove corneal implant
1199,จริง,Corneal operation NEC
120,เท็จ,REMOV INTRAOC FB ANT SEG
1200,จริง,Remov ant segmnt FB NOS
1201,จริง,Magnet remov ant seg FB
1202,จริง,Nonmag remov ant seg FB
121,เท็จ,IRIDOTOMY/SIMPLE IRIDECT
1211,จริง,Iridotomy w transfixion
1212,จริง,Iridotomy NEC
1213,จริง,Prolapsed iris excision
1214,จริง,Iridectomy NEC
122,เท็จ,ANTERIOR SEGMENT DX PROC
1221,จริง,Dx aspirat-ant chamber
1222,จริง,Iris biopsy
1229,จริง,Ant segment dx proc NEC
123,เท็จ,IRIDOPLASTY/COREOPLASTY
1231,จริง,Goniosynechiae lysis
1232,จริง,Ant synechia lysis NEC
1233,จริง,Post synechiae lysis
1234,จริง,Corneovitreal adhesiolys
1235,จริง,Coreoplasty
1239,จริง,Iridoplasty NEC
124,เท็จ,DESTR IRIS/CIL BODY LES
1240,จริง,Remov ant segmnt les NOS
1241,จริง,Nonexc destruc iris les
1242,จริง,Excision of iris lesion
1243,จริง,Nonexc destr cil bod les
1244,จริง,Excise ciliary body les
125,เท็จ,INTRAOCUL CIRC FACILITAT
1251,จริง,Goniopuncture
1252,จริง,Goniotomy
1253,จริง,Goniotomy w goniopunctur
1254,จริง,Trabeculotomy ab externo
1255,จริง,Cyclodialysis
1259,จริง,Facilit intraoc circ NEC
126,เท็จ,SCLERAL FISTULIZATION
1261,จริง,Trephin sclera w iridect
1262,จริง,Thermcaut scler w iridec
1263,จริง,Iridencleisis/iridotasis
1264,จริง,Trabeculectomy ab externo
1265,จริง,Scler fistuliz w iridect
1266,จริง,Postop revis scl fistul
1267,จริง,Ins aqueous drain dev
1269,จริง,Scler fistulizing op NEC
127,เท็จ,HI INTR-OC PRESS RELIEF
1271,จริง,Cyclodiathermy
1272,จริง,Cyclocryotherapy
1273,จริง,Cyclophotocoagulation
1274,จริง,Cil body diminution NOS
1279,จริง,Glaucoma procedure NEC
128,เท็จ,OPERATIONS ON SCLERA
1281,จริง,Suture scleral lacer
1282,จริง,Scleral fistula repair
1283,จริง,Revis ant seg op wnd NEC
1284,จริง,Destruct scleral lesion
1285,จริง,Repair staphylom w graft
1286,จริง,Rep scler staphyloma NEC
1287,จริง,Graft reinforce sclera
1288,จริง,Sclera reinforcement NEC
1289,จริง,Scleral operation NEC
129,เท็จ,OTH ANTERIOR SEGMENT OPS
1291,จริง,Therapeut evac ant chamb
1292,จริง,Anterior chamber inject
1293,จริง,Remov epithel downgrowth
1297,จริง,Iris operation NEC
1298,จริง,Ciliary body op NEC
1299,จริง,Anterior chamber op NEC
130,เท็จ,REMOVE FB FROM LENS
1300,จริง,Remove FB lens NOS
1301,จริง,Magnet remove FB lens
1302,จริง,Nonmagnet remove FB lens
131,เท็จ,INTRACAPSUL LENS EXTRAC
1311,จริง,Temp-inf intrcap lens ex
1319,จริง,Intracapsul lens ext NEC
132,จริง,Linear extracap lens ext
133,จริง,Simpl aspir lens extract
134,เท็จ,FRAG-ASP XTRACAP LENS EX
1341,จริง,Catarac phacoemuls/aspir
1342,จริง,Post catarac frag/aspir
1343,จริง,Cataract frag/aspir NEC
135,เท็จ,EXTRACAPS LENS EXTR NEC
1351,จริง,Temp-inf xtracap lens ex
1359,จริง,Extracap lens extrac NEC
136,เท็จ,OTH CATARACT EXTRACTION
1364,จริง,After-catar discission
1365,จริง,After-cataract excision
1366,จริง,After catar fragmntation
1369,จริง,Cataract extraction NEC
137,เท็จ,INSERT PROSTHETIC LENS
1370,จริง,Insert pseudophakos NOS
1371,จริง,Insert lens at catar ext
1372,จริง,Secondary insert lens
138,จริง,Implanted lens removal
139,จริง,Other operations on lens
1390,จริง,Operation on lens NEC
1391,จริง,Impl intraoc telesc pros
140,เท็จ,REMOVE POST SEGMENT FB
1400,จริง,Remov post segmnt FB NOS
1401,จริง,Magnet remov post seg FB
1402,จริง,Nonmag remov post seg FB
141,เท็จ,POSTERIOR SEG DIAGNOS OP
1411,จริง,Diagnost vitreous aspir
1419,จริง,Dx proc post seg NEC
142,เท็จ,RETINA-CHOR LES DESTRUCT
1421,จริง,Chorioret les diathermy
1422,จริง,Chorioretin les cryother
1423,จริง,Chorioret les xenon coag
1424,จริง,Chorioret les laser coag
1425,จริง,Chorioret les p/coag NOS
1426,จริง,Chorioret les radiother
1427,จริง,Chorioret les rad implan
1429,จริง,Chorioret les destr NEC
143,เท็จ,REPAIR OF RETINAL TEAR
1431,จริง,Retinal tear diathermy
1432,จริง,Retinal tear cryotherapy
1433,จริง,Retinal tear xenon coag
1434,จริง,Retinal tear laser coag
1435,จริง,Retina tear photocoa NOS
1439,จริง,Retinal tear repair NEC
144,เท็จ,REP RETINA DETACH/BUCKLE
1441,จริง,Scleral buckle w implant
1449,จริง,Scleral buckling NEC
145,เท็จ,OTH REPAIR RETINA DETACH
1451,จริง,Detach retina-diathermy
1452,จริง,Detach retina-cryotherap
1453,จริง,Detach retina xenon coag
1454,จริง,Detach retina laser coag
1455,จริง,Detach ret photocoag NOS
1459,จริง,Repair retina detach NEC
146,จริง,Remov pros mat post seg
147,เท็จ,OPERATIONS ON VITREOUS
1471,จริง,Anterior remov vitreous
1472,จริง,Vitreous removal NEC
1473,จริง,Anterior mechan vitrect
1474,จริง,Mech vitrectomy NEC
1475,จริง,Vitreous substitut injec
1479,จริง,Vitreous operation NEC
1481,จริง,Impl epiretinal vis prosth
1482,จริง,Rem epiretinal vis prosth
1483,จริง,Rev/rep epiretin vis pros
149,จริง,Other post segment ops
150,เท็จ,XTRAOC MUSC-TEND DX PROC
1501,จริง,Extraoc musc-tend biopsy
1509,จริง,Extraoc musc dx proc NEC
151,เท็จ,1 XTRAOC MUS OP W DETACH
1511,จริง,One extraoc mus recess
1512,จริง,1 extraoc muscl advance
1513,จริง,1 extraoc muscl resect
1519,จริง,Xtraoc mus op/detach NEC
152,เท็จ,OTH OPS ON 1 EXTROC MUSC
1521,จริง,Lengthen 1 extraoc musc
1522,จริง,Shorten 1 extraoc musc
1529,จริง,Op on 1 extraoc musc NEC
153,จริง,Temp detach >1 xtroc mus
154,จริง,Oth op on >1 extraoc mus
155,จริง,Extraocul mus transposit
156,จริง,Revis extraoc musc surg
157,จริง,Extraoc musc inj repair
159,จริง,Oth extraoc mus-tend op
160,เท็จ,ORBITOTOMY
1601,จริง,Orbitotomy w bone flap
1602,จริง,Orbitotomy w implant
1609,จริง,Orbitotomy NEC
161,จริง,Remove penetrat FB eye
162,เท็จ,ORBIT & EYEBALL DX PROC
1621,จริง,Ophthalmoscopy
1622,จริง,Diagnostic asp of orbit
1623,จริง,Eyeball & orbit biopsy
1629,จริง,Eyebal/orbit dx proc NEC
163,เท็จ,EVISCERATION OF EYEBALL
1631,จริง,Eye evisc w synch implan
1639,จริง,Eyeball evisceration NEC
164,เท็จ,ENUCLEATION OF EYEBALL
1641,จริง,Eye enuc/implan/musc att
1642,จริง,Eye enuc w implant NEC
1649,จริง,Eyeball enucleation NEC
165,เท็จ,EXENTERATION OF ORBIT
1651,จริง,Radical orbitomaxillect
1652,จริง,Orbit exent w bone remov
1659,จริง,Orbital exenteration NEC
166,เท็จ,2NDRY OP POST EYE REMOVL
1661,จริง,2ndry ocular imp insert
1662,จริง,Revis/reinsert ocul imp
1663,จริง,Revis enuc socket w grft
1664,จริง,Enuc socket revis NEC
1665,จริง,2ndry exent cavity graft
1666,จริง,Revis exenter cavity NEC
1669,จริง,2nd op post eye rem NEC
167,เท็จ,OCUL-ORBIT IMPLANT REMOV
1671,จริง,Remove ocular implant
1672,จริง,Remove orbital implant
168,เท็จ,EYEBALL/ORBIT INJ REPAIR
1681,จริง,Repair of orbital wound
1682,จริง,Repair eyeball rupture
1689,จริง,Eye/orbit inj repair NEC
169,เท็จ,OTHER EYE & ORBIT OPS
1691,จริง,Retrobulbar injection
1692,จริง,Excision orbital lesion
1693,จริง,Excision eye lesion NOS
1698,จริง,Operation on orbit NEC
1699,จริง,Operation on eyeball NEC
1711,จริง,Lap dir ing hern-graft
1712,จริง,Lap indir ing hern-graft
1713,จริง,Lap ing hern-graft NOS
1721,จริง,Lap bil dir ing hrn-grft
1722,จริง,Lap bi indir ing hrn-grf
1723,จริง,Lap bi dr/ind ing hrn-gr
1724,จริง,Lap bil ing hern-grf NOS
1731,จริง,Lap mul seg res lg intes
1732,จริง,Laparoscopic cecectomy
